VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 4:37,7/1/2021 5:24,N,1,126,235,1,13.16,45.5,0.5,0.5,0,0,,0.3,46.8,1,1,0
2,7/1/2021 4:31,7/1/2021 4:45,N,5,129,138,1,3.16,9.2,0,0.5,0,0,,0.3,10,2,1,0
2,7/1/2021 4:24,7/1/2021 6:00,N,1,227,23,1,23.12,91,0.5,0.5,0,6.55,,0.3,98.85,1,1,0
2,7/1/2021 4:18,7/1/2021 4:18,N,1,150,150,1,0,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
2,7/1/2021 4:14,7/1/2021 4:19,N,1,74,75,1,1.15,6,0.5,0.5,0,0,,0.3,7.3,2,1,0
2,7/1/2021 4:21,7/1/2021 4:21,N,5,75,75,1,0,7.3,0,0,0,0,,0.3,7.6,1,2,0
2,7/1/2021 4:27,7/1/2021 4:44,N,1,136,81,1,8.25,24.5,0.5,0.5,0,0,,0.3,25.8,2,1,0
2,7/1/2021 4:39,7/1/2021 5:05,N,2,244,132,1,19.99,52,0,0.5,0,6.55,,0.3,59.35,2,1,0
2,7/1/2021 5:38,7/1/2021 5:50,N,1,10,197,1,2.76,11.5,0.5,0.5,0,0,,0.3,12.8,1,1,0
1,7/1/2021 5:01,7/1/2021 5:11,N,1,74,75,1,0,10.2,0,0.5,0,0,,0.3,11,1,1,0
1,7/1/2021 5:24,7/1/2021 5:34,N,1,75,107,1,5,16,3.25,0.5,4,0,,0.3,24.05,1,1,2.75
2,7/1/2021 5:04,7/1/2021 5:05,N,1,173,173,2,0,2.5,0.5,0.5,0,0,,0.3,3.8,2,1,0
1,7/1/2021 5:47,7/1/2021 5:54,N,1,74,75,1,1.4,7,0.5,0.5,2.45,0,,0.3,10.75,1,1,0
2,7/1/2021 5:40,7/1/2021 5:57,N,1,95,132,1,7.71,24,0.5,0.5,0,0,,0.3,25.3,2,1,0
2,7/1/2021 5:51,7/1/2021 6:17,N,1,116,107,1,8.46,28,0.5,0.5,6.41,0,,0.3,38.46,1,1,2.75
2,7/1/2021 5:06,7/1/2021 5:51,N,1,159,23,1,30.59,82,0.5,0.5,0,6.55,,0.3,89.85,1,1,0
2,7/1/2021 5:53,7/1/2021 6:31,N,1,23,212,1,33.82,87.5,0.5,0.5,26.64,0,,0.3,115.44,1,1,0
2,7/1/2021 5:47,7/1/2021 5:53,N,1,74,42,1,2.47,9,0.5,0.5,0,0,,0.3,10.3,2,1,0
2,7/1/2021 6:00,7/1/2021 7:12,N,1,240,197,1,21.33,73,0.5,0.5,0,6.55,,0.3,80.85,1,1,0
2,7/1/2021 6:19,7/1/2021 6:26,N,1,74,75,1,1.59,7,0,0.5,0,0,,0.3,7.8,2,1,0
